Team,YardsPerCarry(Rank),YardsPerAttempt(Rank),CompletionPercentage(Rank),TurnoverMargin(Rank),3rdDownEfficiency(Rank),4thDownEfficiency(Rank),PointDifferential(Rank),YardsAllowedPerGame(Rank),TotalYardsPerGame(Rank),FieldGoalPercentage(Rank)
Baltimore Ravens,11,29,23,1,13,9,9,12,27,32
Detroit Lions,32,7,6,4,10,5,10,27,13,1
Tampa Bay Buccaneers,27,5,8,28,19,2,23,32,9,24
San Francisco 49ers,22,12,10,31,17,11,22,24,12,26
Philadelphia Eagles,6,9,11,11,3,1,3,4,7,19
Buffalo Bills,21,24,29,6,27,4,14,26,29,3
Cincinnati Bengals,31,26,30,26,30,30,28,18,32,2
Washington Redskins,28,13,15,21,20,8,25,21,16,9
Green Bay Packers,12,19,26,9,28,24,20,22,26,6
Atlanta Falcons,5,1,3,13,9,3,12,9,8,20
Kansas City Chiefs,4,2,5,10,5,6,6,28,5,14
Arizona Cardinals,25,18,21,32,22,7,24,6,15,30
Miami Dolphins,29,30,31,30,31,29,30,16,25,15
Minnesota Vikings,7,14,12,5,1,12,1,1,11,7
Los Angeles Chargers,26,3,4,3,6,10,7,15,4,8
Houston Texans,10,11,7,29,26,23,29,20,20,22
New York Jets,20,28,28,27,25,31,27,25,28,25
Denver Broncos,18,23,27,25,29,26,26,3,17,29
Pittsburgh Steelers,15,8,9,2,8,17,2,5,3,4
Los Angeles Rams,3,4,2,8,4,14,4,19,1,5
Carolina Panthers,8,15,13,7,12,20,11,7,19,17
New Orleans Saints,2,6,1,12,2,15,5,17,2,10
Cleveland Browns,30,27,32,32,32,32,32,31,30,31
Chicago Bears,24,31,24,24,24,25,31,10,31,11
Seattle Seahawks,14,10,14,14,7,13,13,11,18,12
Tennessee Titans,9,17,16,15,16,16,16,13,21,13
Indianapolis Colts,19,25,25,20,21,21,21,29,24,16
Las Vegas Raiders,17,20,20,17,18,19,18,30,22,18
New York Giants,23,22,22,22,23,22,19,14,23,21
Dallas Cowboys,13,16,17,16,15,18,15,8,14,23
New England Patriots,16,21,19,18,14,27,8,2,6,28
Jacksonville Jaguars,1,32,18,19,11,28,17,23,10,27
